model,topics_used,min_n_per_topic,elasticity_var,stability,threshold_cut,percentile,method
Llama 3.1 8B Instruct,8.0,12.0,0.17449322092407046,Stable,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
Llama 3.3 70b,8.0,12.0,0.139635837941203,Stable,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
Llama 4 Maverick,8.0,12.0,0.17919620790750854,Stable,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
Llama 4 Scout,8.0,12.0,0.18086441415010043,Stable,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
MAI DS R1,8.0,12.0,0.14873639987412984,Stable,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
Mistral Magistral Small 2506,8.0,12.0,0.22989169818898703,Chameleon,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
Mistral Medium 3.1,8.0,12.0,0.15984313791159843,Stable,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
Mistral Small 3.2 24b,8.0,12.0,0.16735895071261697,Stable,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
Phi-4 reasoning+,8.0,12.0,0.15684251455762832,Stable,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
Qwen 3 235b A22B Instruct,8.0,12.0,0.14337648215868845,Stable,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
Qwen 3 32b,8.0,12.0,0.16986468726414947,Stable,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
TDR Anubis 70b v1.1,8.0,12.0,0.2404299031487772,Chameleon,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
TDR Anubis Pro 105b v1,8.0,12.0,0.16963695513445382,Stable,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
Z-AI GLM 4.5,8.0,12.0,0.23268973685139074,Chameleon,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
Z-AI GLM 4.5 Air,8.0,12.0,0.2130524739582468,Chameleon,0.19669116707539924,0.7,OptionB_adaptive (slope|spearman)
