model,topic_dispersion_wMAD,mad_ci_lo,mad_ci_hi,perm_z,p_value,q_value,num_topics,min_n_per_topic,stability
Gemini 2.5 Pro,0.2608059140627091,0.08148439805364507,0.5468098455339636,1.5662200825777794,0.07192807192807193,0.99000999000999,8.0,12.0,Uncertain
Gemma 3 12b,0.1559834604854004,0.043389005099614214,0.38396579350856763,-0.024777712625257468,0.47052947052947053,0.99000999000999,8.0,12.0,Uncertain
Gemma 3 27b,0.1058654304501532,0.043808592995745375,0.4408038970964737,-0.5784786893086692,0.6813186813186813,0.99000999000999,8.0,12.0,Uncertain
Gpt 3.5 Turbo,0.157619622488382,0.06655022463556688,0.3936646579469619,0.033529131336916596,0.4405594405594406,0.99000999000999,8.0,12.0,Uncertain
Gpt 4.1,0.0861570946987236,0.04910222119977067,0.36415144425513735,-0.9701422896129095,0.8261738261738262,0.99000999000999,8.0,12.0,Uncertain
Gpt 4.1 mini,0.03800314347787323,0.04043870929375932,0.32459291583879374,-1.60825344187146,0.9760239760239761,0.99000999000999,8.0,12.0,Uncertain
Gpt 4o,0.044218524536856055,0.04388850668830765,0.31481992391449215,-1.4842824805932884,0.9560439560439561,0.99000999000999,8.0,12.0,Uncertain
Gpt 4o Mini,0.09146914813403442,0.04913197354083006,0.33761053203088587,-0.7799703796026777,0.7502497502497503,0.99000999000999,8.0,12.0,Uncertain
Gpt 5,0.16081849641383983,0.04830849470135041,0.28670740790242827,0.9609448738076898,0.17582417582417584,0.99000999000999,8.0,12.0,Uncertain
Gpt 5 Nano,0.20291701037758633,0.03601331581196316,0.3567404580281759,0.8422606782854495,0.2037962037962038,0.99000999000999,8.0,12.0,Uncertain
Gpt 5 mini,0.07416136766011447,0.04290685148988366,0.34740746863979965,-1.0561899771613783,0.8671328671328671,0.99000999000999,8.0,12.0,Uncertain
Grok 3 Mini,0.15555061202676998,0.05951779377240034,0.37454929110276236,-0.00864432430747849,0.4645354645354645,0.99000999000999,8.0,12.0,Uncertain
Grok 4,0.13605501477224066,0.05505491986777937,0.4687272545518509,-0.2891155679777147,0.5764235764235764,0.99000999000999,8.0,12.0,Uncertain
Hunyuan A13B Instruct,0.08074097843372341,0.04540618372620608,0.32075239603152966,-0.9828048394022559,0.8251748251748252,0.99000999000999,8.0,12.0,Uncertain
Inception Mercury,0.08993868990507418,0.03447675478031069,0.29806709250612407,-0.7172422185255665,0.7442557442557443,0.99000999000999,8.0,12.0,Uncertain
Kimi K2,0.08380147802583163,0.05027597376573809,0.35503213562955005,-0.9733213378368396,0.8411588411588412,0.99000999000999,8.0,12.0,Uncertain
Liquid LFM 40B MoE,0.10047178367115407,0.04666353866694135,0.31317119908473334,-0.6640079902984056,0.7172827172827173,0.99000999000999,8.0,12.0,Uncertain
Llama 3.1 8B Instruct,0.08524042044360267,0.018422685336597244,0.2404591430304444,-0.4849431130107126,0.6363636363636364,0.99000999000999,8.0,12.0,Uncertain
Llama 3.3 70b,0.07335126257989669,0.03846438518426454,0.32657666536199953,-0.9587973114935276,0.8211788211788211,0.99000999000999,8.0,12.0,Uncertain
Llama 4 Maverick,0.1547601483285265,0.03213229339965083,0.3241920468332585,0.4523508419715009,0.3086913086913087,0.99000999000999,8.0,12.0,Uncertain
Llama 4 Scout,0.07086666117081308,0.04504975421792197,0.31924968124189357,-0.8259574120449168,0.7772227772227772,0.99000999000999,8.0,12.0,Uncertain
MAI DS R1,0.03235093565668548,0.03157036682090551,0.3153608430748597,-1.6789925498941145,0.985014985014985,0.99000999000999,8.0,12.0,Uncertain
Mistral Magistral Small 2506,0.03847383465931075,0.0428251101708735,0.32774146463487713,-1.538272423153285,0.967032967032967,0.99000999000999,8.0,12.0,Uncertain
Mistral Medium 3.1,0.10387118939606424,0.049837569355639585,0.37782525992433597,-0.7209198068019587,0.7622377622377622,0.99000999000999,8.0,12.0,Uncertain
Mistral Small 3.2 24b,0.089678712296432,0.039675054249469176,0.3424180904123142,-0.7389918775237598,0.7532467532467533,0.99000999000999,8.0,12.0,Uncertain
Phi-4 reasoning+,0.10864221927883233,0.0358071332982441,0.24935323300233173,-0.16168824851214772,0.5284715284715285,0.99000999000999,8.0,12.0,Uncertain
Qwen 3 235b A22B Instruct,0.1036767916351767,0.04969649711281356,0.3629538758659418,-0.7322598837783083,0.7352647352647352,0.99000999000999,8.0,12.0,Uncertain
Qwen 3 32b,0.02676745627601601,0.0412915362976852,0.32701910156990555,-1.6878538495046078,0.99000999000999,0.99000999000999,8.0,12.0,Uncertain
TDR Anubis 70b v1.1,0.2315555533972976,0.06539089666933307,0.5005387636105806,0.8658646203477671,0.1958041958041958,0.99000999000999,8.0,12.0,Uncertain
TDR Anubis Pro 105b v1,0.07384991912648786,0.052647163744888155,0.3709351408221562,-0.9312854276885522,0.8151848151848152,0.99000999000999,8.0,12.0,Uncertain
Z-AI GLM 4.5,0.03570843078386127,0.04658061373044332,0.332448782875875,-1.6385416427164927,0.985014985014985,0.99000999000999,8.0,12.0,Uncertain
Z-AI GLM 4.5 Air,0.07581572197309316,0.04339563053792743,0.3340016353942888,-1.094089369732895,0.8801198801198801,0.99000999000999,8.0,12.0,Uncertain
