model,AOS,CCR,HVS,DAC,AE,FLAT,INTENS,HEDGE,RR,SAFE,CAVEAT1,EVAS,n_total,n_harm,n_devil,SI
Hunyuan A13B Instruct,0.2854166666666667,0.7989583333333332,0.0476190476190476,0.9968749999999998,0.0646801125239039,0.0079166666666666,0.0216666666666666,0.0364583333333333,0.0011904761904761,0.0652380952380952,0.8072916666666666,0.0015625,96,42,48,0.15107589285714293
Qwen 3 235b A22B Instruct,0.3046875,0.803125,0.0261904761904761,0.9968749999999998,0.0163503395174142,0.00935,0.0242583333333333,0.0213020833333333,0.0042857142857142,0.0626190476190476,0.8125,0.0031249999999999,96,42,48,0.15008122023809525
DeepSeek R1,0.3380208333333334,0.8239583333333335,0.0119047619047619,0.9989583333333334,0.0201891114348075,0.0118541666666666,0.0439184272083148,0.0337001617044388,0.0028571428571428,0.0721428571428571,0.8229166666666666,0.0041666666666666,96,42,48,0.1490575148809523
Claude Sonnet 4,0.271875,0.7953125,0.019047619047619,0.9989583333333334,0.0463648059208639,0.0061458333333333,0.0224769762461059,0.0361879137461059,0.0061904761904761,0.1086047619047619,0.7604166666666666,0.03125,96,42,48,0.14721837797619047
Gpt 5,0.2911458333333334,0.8041666666666667,0.0333333333333333,0.9947916666666666,0.0602765205033565,0.0033333333333333,0.0277083333333333,0.0310416666666666,0.0,0.0873809523809523,0.8208333333333333,0.0,96,42,48,0.14719270833333334
Z-AI GLM 4.5 Air,0.378125,0.8625000000000002,0.013095238095238,0.9968749999999998,0.1293733891423215,0.0132291666666666,0.042241869122257,0.0339968652037617,0.0047619047619047,0.0728571428571428,0.8541666666666666,0.0005208333333333,96,42,48,0.14690811011904756
Llama 4 Maverick,0.225,0.7479166666666668,0.0095238095238095,0.9739583333333334,0.0449657433603311,0.0063229166666666,0.0071979166666666,0.1109806884430727,0.0235642857142857,0.0780952380952381,0.7864583333333334,0.1010416666666666,96,42,48,0.14659408482142852
Liquid LFM 40B MoE,0.2145833333333333,0.7619791666666668,0.0119047619047619,0.959375,0.1046146471085231,0.0013541666666666,0.0112154294032023,0.0471428571428571,0.0019047619047619,0.0849999999999999,0.7552083333333334,0.0104166666666666,96,42,48,0.14613876488095234
Arcee Virtuoso Large,0.278125,0.8234375000000002,0.0309523809523809,0.9833333333333334,0.1103018624383987,0.003125,0.0112760416666666,0.0571432517135642,0.0004761904761904,0.09,0.7708333333333334,0.0104166666666666,96,42,48,0.1453571428571428
Mistral Small 3.2 24b,0.2322916666666666,0.74375,0.0,0.9947916666666666,0.1346158457887956,0.005625,0.0159114583333333,0.0292447916666666,0.005,0.0750785714285714,0.78125,0.03125,96,42,48,0.14493229166666666
Claude 3.5 Haiku,0.2666666666666666,0.771875,0.0,0.9729166666666668,0.058030307944364,0.0003125,0.0172760416666666,0.0311536458333333,0.0178809523809523,0.1455238095238095,0.8333333333333334,0.0604166666666666,96,42,48,0.14443489583333333
Ernie 4.5 21B A3B,0.2583333333333333,0.7817708333333333,0.0023809523809523,0.971875,0.0178630509587826,0.0052083333333333,0.0153125,0.0260416666666666,0.0014285714285714,0.0757142857142857,0.8125,0.0010416666666666,96,42,48,0.14271577380952377
ERNIE 4.5 300B A47B,0.2385416666666666,0.7802083333333334,0.025,0.9885416666666668,-0.0191694921616942,0.0038541666666666,0.0147395833333333,0.0255989583333333,0.0033333333333333,0.0566964285714285,0.8229166666666666,0.0114583333333333,96,42,48,0.1391067708333333
MAI DS R1,0.2791666666666667,0.8395833333333332,0.0285714285714285,0.9979166666666668,0.0356782875044155,0.0059374999999999,0.0233361486486486,0.0363858389639639,0.0014285714285714,0.0627523809523809,0.7916666666666666,0.0,96,42,48,0.13690438988095235
Inception Mercury,0.2291666666666666,0.7994791666666666,0.0154761904761904,0.9708333333333332,0.0807589708552867,0.0017708333333333,0.0092708333333333,0.0426041666666666,0.0009523809523809,0.0625023809523809,0.8125,0.0229166666666666,96,42,48,0.13368638392857143
Arcee AI Spotlight,0.203125,0.7682291666666669,0.0047619047619047,0.9854166666666666,0.0945978338449757,0.0019791666666666,0.0087031249999999,0.0387526041666666,0.0004761904761904,0.0907142857142857,0.7864583333333334,0.028125,96,42,48,0.13326748511904757
Kimi K2,0.2739583333333333,0.8328125000000001,0.0059523809523809,0.9989583333333334,0.1095124062729024,0.0022916666666666,0.0225104166666666,0.0390951867816091,0.0002380952380952,0.087547619047619,0.8020833333333334,0.0031249999999999,96,42,48,0.1314821428571428
Llama 4 Scout,0.2151041666666666,0.8057291666666666,0.0023809523809523,0.9958333333333332,0.1622771902508924,0.0063291666666666,0.0085489583333333,0.0251760416666666,0.0297642857142857,0.0848428571428571,0.7395833333333334,0.0447916666666666,96,42,48,0.1296448363095238
Gpt 5 Nano,0.2515625,0.8239583333333332,0.0071428571428571,0.9979166666666668,-0.0208078585638717,0.00125,0.0138541666666666,0.0355208333333333,0.0164285714285714,0.0921428571428571,0.84375,0.0296875,96,42,48,0.12429836309523809
Gpt 5 mini,0.2583333333333333,0.8494791666666668,0.0119047619047619,0.9989583333333334,0.0584043270082281,0.003125,0.0135416666666666,0.043582461001642,0.0069047619047619,0.105,0.890625,0.0020833333333333,96,42,48,0.11576636904761901
Phi-4 reasoning+,0.1953125,0.8249999999999998,0.0214285714285714,0.9885416666666668,-0.0125874445114865,0.0034375,0.0066666666666666,0.0449479166666666,0.0021428571428571,0.0738714285714285,0.8395833333333332,0.0104166666666666,96,42,48,0.11471019345238098
